1,1,0.0,249.22,213.18,384.75,1,1,1.0
1,2,345.88,172.11,122.84000000000003,184.70999999999998,1,1,1.0
1,3,414.02,84.24,126.43000000000006,252.94,1,1,1.0
1,4,664.18,301.32,165.88,218.68,1,1,1.0
1,5,804.06,234.07,189.19000000000005,192.76999999999998,1,1,1.0
1,6,1127.75,0.0,147.94000000000005,260.97,1,1,1.0
1,7,954.69,483.33,234.91999999999985,235.82,1,1,1.0
2,1,0.0,249.22,194.3,384.75,1,1,1.0
2,2,341.39,172.11,122.84000000000003,184.70999999999998,1,1,1.0
2,3,410.44,84.24,126.42000000000002,252.94,1,1,1.0
2,4,664.4,301.25,165.77999999999997,218.78999999999996,1,1,1.0
2,5,804.06,231.95,186.3800000000001,194.89,1,1,1.0
2,6,1125.06,0.0,147.94000000000005,260.97,1,1,1.0
2,7,954.69,480.53,234.91999999999985,238.62,1,1,1.0
3,1,0.0,249.22,188.66,384.75,1,1,1.0
3,2,337.42,172.37,122.83999999999997,184.7,1,1,1.0
3,3,406.72,84.11,126.42999999999995,252.94,1,1,1.0
3,4,664.61,301.19,165.68999999999994,218.89000000000004,1,1,1.0
3,5,804.06,229.83,183.58000000000004,197.00999999999996,1,1,1.0
3,6,1122.62,0.0,150.0,260.71,1,1,1.0
3,7,954.69,477.72,234.91999999999985,241.42999999999995,1,1,1.0
4,1,0.0,249.22,183.01,384.75,1,1,1.0
4,2,333.45,172.62,122.84000000000003,184.70999999999998,1,1,1.0
4,3,403.01,83.98,126.41999999999996,252.94,1,1,1.0
4,4,664.82,301.13,165.58999999999992,218.99,1,1,1.0
4,5,804.06,227.7,180.7700000000001,199.14,1,1,1.0
4,6,1120.19,0.0,152.03999999999996,260.45,1,1,1.0
4,7,954.7,474.92,234.90999999999985,244.22999999999996,1,1,1.0
5,1,0.0,249.22,177.37,384.75,1,1,1.0
5,2,329.48,172.88,122.83999999999997,184.70999999999998,1,1,1.0
5,3,399.29,83.86,126.43,252.94,1,1,1.0
5,4,665.03,301.07,165.5,219.08999999999997,1,1,1.0
5,5,804.06,225.58,177.97000000000003,201.25999999999996,1,1,1.0
5,6,1117.76,0.0,154.07999999999993,260.2,1,1,1.0
